algo,mdp,run,rho_empirical,rho_internal
DiffQL,resetdie,0,6.0,6.093817148924659
DiffQL,resetdie,1,6.0,5.769942923145819
DiffQL,resetdie,2,6.0,6.163635367024572
DiffQL,resetdie,3,6.0,5.844969203994974
DiffQL,resetdie,4,6.0,5.621561266926645
DiffQL,resetdie,5,6.0,6.035702573741166
DiffQL,resetdie,6,6.0,6.085208282312612
DiffQL,resetdie,7,6.0,5.829132303597382
DiffQL,resetdie,8,6.0,6.50416247252572
DiffQL,resetdie,9,6.0,6.258060000845304
DiffQL,resetdie,10,6.0,6.1765023990530645
DiffQL,resetdie,11,6.0,5.882249561506678
DiffQL,resetdie,12,6.0,5.9351999222020755
DiffQL,resetdie,13,5.0,5.226612869363338
DiffQL,resetdie,14,6.0,6.16431320488716
DiffQL,resetdie,15,6.0,6.09775986557199
DiffQL,resetdie,16,6.0,5.832459650195026
DiffQL,resetdie,17,6.0,5.938077539620774
DiffQL,resetdie,18,6.0,6.258513845901392
DiffQL,resetdie,19,6.0,6.742172012444985
DiffQL,resetdie,20,6.0,6.111698054439812
DiffQL,resetdie,21,6.0,6.3981442923012
DiffQL,resetdie,22,6.0,5.893844122870974
DiffQL,resetdie,23,6.0,6.626576907532883
DiffQL,resetdie,24,6.0,4.968152769730834
DiffQL,resetdie,25,6.0,6.512179583508319
DiffQL,resetdie,26,6.0,5.394924746716008
DiffQL,resetdie,27,5.0,5.534892629128928
DiffQL,resetdie,28,6.0,6.459465263947145
DiffQL,resetdie,29,6.0,6.2499754334899205
DiffQL,resetdie,30,6.0,5.940017109969374
DiffQL,resetdie,31,6.0,5.90831273172429
DiffQL,resetdie,32,6.0,5.602771607147535
DiffQL,resetdie,33,6.0,5.618493309830634
DiffQL,resetdie,34,0.0,5.332616808920457
DiffQL,resetdie,35,6.0,5.3431782864033295
DiffQL,resetdie,36,6.0,5.964583493405107
DiffQL,resetdie,37,0.0,5.1892528324197
DiffQL,resetdie,38,6.0,6.347896876486294
DiffQL,resetdie,39,6.0,6.111439748103035
DiffQL,resetdie,40,6.0,6.425384901009024
DiffQL,resetdie,41,6.0,5.716561228573036
DiffQL,resetdie,42,6.0,6.200019920923891
DiffQL,resetdie,43,6.0,6.335234384741858
DiffQL,resetdie,44,6.0,6.429134482776242
DiffQL,resetdie,45,6.0,5.923569051960873
DiffQL,resetdie,46,6.0,6.251227046127545
DiffQL,resetdie,47,6.0,5.902513593467006
DiffQL,resetdie,48,6.0,5.701845951476522
DiffQL,resetdie,49,6.0,5.585338555293288
DiffQL,resetdie,50,6.0,6.08845691661763
DiffQL,resetdie,51,6.0,6.162222105506144
DiffQL,resetdie,52,6.0,6.516655238578345
DiffQL,resetdie,53,6.0,6.216064545218491
DiffQL,resetdie,54,6.0,5.669550378526635
DiffQL,resetdie,55,6.0,5.264877044946538
DiffQL,resetdie,56,6.0,6.094659923309633
DiffQL,resetdie,57,6.0,5.862214739996838
DiffQL,resetdie,58,6.0,6.256163346116466
DiffQL,resetdie,59,6.0,5.651641950658599
DiffQL,resetdie,60,6.0,5.673429988983617
DiffQL,resetdie,61,6.0,6.236366842411991
DiffQL,resetdie,62,6.0,5.971671868670897
DiffQL,resetdie,63,6.0,6.167869770921369
DiffQL,resetdie,64,6.0,6.296055400178743
DiffQL,resetdie,65,6.0,5.82744456412654
DiffQL,resetdie,66,6.0,6.55024560679388
DiffQL,resetdie,67,6.0,6.250585207791868
DiffQL,resetdie,68,6.0,6.285426546758759
DiffQL,resetdie,69,6.0,5.735688363589448
DiffQL,resetdie,70,6.0,5.238678509500473
DiffQL,resetdie,71,6.0,6.451166284827798
DiffQL,resetdie,72,6.0,6.448754879876997
DiffQL,resetdie,73,6.0,5.823938147443617
DiffQL,resetdie,74,6.0,5.8728772162275575
DiffQL,resetdie,75,6.0,5.796023566198029
DiffQL,resetdie,76,6.0,5.609348158457598
DiffQL,resetdie,77,6.0,6.057917797507756
DiffQL,resetdie,78,6.0,5.886788031542831
DiffQL,resetdie,79,6.0,6.059078127824334
DiffQL,resetdie,80,6.0,6.101469068097831
DiffQL,resetdie,81,6.0,5.9424519606061414
DiffQL,resetdie,82,6.0,5.9895780466741515
DiffQL,resetdie,83,0.0,5.457970419094168
DiffQL,resetdie,84,6.0,6.079688133037734
DiffQL,resetdie,85,6.0,5.366797534148177
DiffQL,resetdie,86,6.0,6.238646600754134
DiffQL,resetdie,87,6.0,5.906703085781973
DiffQL,resetdie,88,6.0,5.23303996450499
DiffQL,resetdie,89,6.0,6.564031365839889
DiffQL,resetdie,90,6.0,5.487057475183411
DiffQL,resetdie,91,6.0,6.213214030205704
DiffQL,resetdie,92,6.0,6.060125957328308
DiffQL,resetdie,93,6.0,5.782632148224205
DiffQL,resetdie,94,6.0,6.130402447552413
DiffQL,resetdie,95,0.0,5.251654424161651
DiffQL,resetdie,96,6.0,6.198580358173186
DiffQL,resetdie,97,6.0,5.599541884747016
DiffQL,resetdie,98,6.0,5.350155937294287
DiffQL,resetdie,99,6.0,6.121976241299639
DiffQL,resetdie,100,6.0,5.560482210148551
DiffQL,resetdie,101,6.0,6.056958715902564
DiffQL,resetdie,102,6.0,5.715955623417369
DiffQL,resetdie,103,6.0,6.103103531619152
DiffQL,resetdie,104,6.0,6.26935488031243
DiffQL,resetdie,105,6.0,6.294718958599173
DiffQL,resetdie,106,6.0,5.648456804992945
DiffQL,resetdie,107,6.0,6.4244092901800665
DiffQL,resetdie,108,6.0,6.323194379425362
DiffQL,resetdie,109,6.0,6.864974212420738
DiffQL,resetdie,110,6.0,5.749473092210228
DiffQL,resetdie,111,5.0,5.211573069179951
DiffQL,resetdie,112,6.0,6.18268845294977
DiffQL,resetdie,113,6.0,6.109239537056121
DiffQL,resetdie,114,6.0,5.835333770577987
DiffQL,resetdie,115,6.0,5.50014468498653
DiffQL,resetdie,116,6.0,5.668414956692235
DiffQL,resetdie,117,6.0,6.2294122215361725
DiffQL,resetdie,118,6.0,5.762482394165793
DiffQL,resetdie,119,6.0,6.044541212728436
DiffQL,resetdie,120,6.0,6.123439167928597
DiffQL,resetdie,121,6.0,5.830540574412385
DiffQL,resetdie,122,6.0,6.256376306017757
DiffQL,resetdie,123,6.0,5.611980494920718
DiffQL,resetdie,124,6.0,5.740728322124378
DiffQL,resetdie,125,6.0,6.130674797661615
DiffQL,resetdie,126,6.0,6.279076037992919
DiffQL,resetdie,127,6.0,5.984962148846872
DiffQL,resetdie,128,6.0,6.377428051548169
DiffQL,resetdie,129,6.0,5.537961321798742
DiffQL,resetdie,130,6.0,6.802554019387453
DiffQL,resetdie,131,6.0,5.782605711109454
DiffQL,resetdie,132,6.0,6.437919897622401
DiffQL,resetdie,133,6.0,6.0115418957905
DiffQL,resetdie,134,6.0,5.782257703124657
DiffQL,resetdie,135,6.0,6.409646613430625
DiffQL,resetdie,136,6.0,6.154890008148313
DiffQL,resetdie,137,6.0,5.640714787719752
DiffQL,resetdie,138,6.0,6.227625081377415
DiffQL,resetdie,139,6.0,5.900360765485975
DiffQL,resetdie,140,6.0,5.73188517927674
DiffQL,resetdie,141,6.0,6.0864618857561
DiffQL,resetdie,142,6.0,5.860460873876498
DiffQL,resetdie,143,6.0,6.104598141280818
DiffQL,resetdie,144,6.0,5.623622771644263
DiffQL,resetdie,145,6.0,6.236387054231525
DiffQL,resetdie,146,6.0,5.777599758171577
DiffQL,resetdie,147,6.0,6.287659810707909
DiffQL,resetdie,148,6.0,4.968189052649594
DiffQL,resetdie,149,6.0,5.705072223968857
DiffQL,resetdie,150,6.0,6.068290286933391
DiffQL,resetdie,151,6.0,5.784504269165522
DiffQL,resetdie,152,6.0,6.353507786685118
DiffQL,resetdie,153,6.0,5.909339098467499
DiffQL,resetdie,154,6.0,6.184661014169175
DiffQL,resetdie,155,6.0,6.276788032079166
DiffQL,resetdie,156,6.0,6.241536682501713
DiffQL,resetdie,157,6.0,6.419131498024107
DiffQL,resetdie,158,6.0,5.659627136787737
DiffQL,resetdie,159,6.0,6.602581423593162
DiffQL,resetdie,160,6.0,5.942991393899702
DiffQL,resetdie,161,6.0,6.275756814237689
DiffQL,resetdie,162,6.0,5.725606101800359
DiffQL,resetdie,163,5.0,5.106231910837743
DiffQL,resetdie,164,6.0,5.896127638877864
DiffQL,resetdie,165,6.0,6.106188745816453
DiffQL,resetdie,166,6.0,6.194937621429006
DiffQL,resetdie,167,6.0,5.677129887977052
DiffQL,resetdie,168,6.0,5.899389497054677
