algo,mdp,run,rho_empirical,rho_internal
DiffQL,access_control-automated,0,0.0,0.0
DiffQL,access_control-automated,1,0.0,0.0
DiffQL,access_control-automated,2,0.0,0.0
DiffQL,access_control-automated,3,0.0,0.0
DiffQL,access_control-automated,4,0.0,0.0
DiffQL,access_control-automated,5,0.0,0.0
DiffQL,access_control-automated,6,0.0,0.0
DiffQL,access_control-automated,7,0.0,0.0
DiffQL,access_control-automated,8,0.0,0.0
DiffQL,access_control-automated,9,0.0,0.0
DiffQL,access_control-automated,10,0.0,0.0
DiffQL,access_control-automated,11,0.0,0.0
DiffQL,access_control-automated,12,0.0,0.0
DiffQL,access_control-automated,13,0.0,0.0
DiffQL,access_control-automated,14,0.0,0.0
DiffQL,access_control-automated,15,0.0,0.0
DiffQL,access_control-automated,16,0.0,0.0
DiffQL,access_control-automated,17,0.0,0.0
DiffQL,access_control-automated,18,0.0,0.0
DiffQL,access_control-automated,19,0.0,0.0
DiffQL,access_control-automated,20,0.0,0.0
DiffQL,access_control-automated,21,0.0,0.0
DiffQL,access_control-automated,22,0.0,0.0
DiffQL,access_control-automated,23,0.0,0.0
DiffQL,access_control-automated,24,0.0,0.0
DiffQL,access_control-automated,25,0.0,0.0
DiffQL,access_control-automated,26,0.0,0.0
DiffQL,access_control-automated,27,0.0,0.0
DiffQL,access_control-automated,28,0.0,0.0
DiffQL,access_control-automated,29,0.0,0.0
DiffQL,access_control-automated,30,0.0,0.0
DiffQL,access_control-automated,31,0.0,0.0
DiffQL,access_control-automated,32,0.0,0.0
DiffQL,access_control-automated,33,0.0,0.0
DiffQL,access_control-automated,34,0.0,0.0
DiffQL,access_control-automated,35,0.0,0.0
DiffQL,access_control-automated,36,0.0,0.0
DiffQL,access_control-automated,37,0.0,0.0
DiffQL,access_control-automated,38,0.0,0.0
DiffQL,access_control-automated,39,0.0,0.0
DiffQL,access_control-automated,40,0.0,0.0
DiffQL,access_control-automated,41,0.0,0.0
DiffQL,access_control-automated,42,0.0,0.0
DiffQL,access_control-automated,43,0.0,0.0
DiffQL,access_control-automated,44,0.0,0.0
DiffQL,access_control-automated,45,0.0,0.0
DiffQL,access_control-automated,46,0.0,0.0
DiffQL,access_control-automated,47,0.0,0.0
DiffQL,access_control-automated,48,0.0,0.0
DiffQL,access_control-automated,49,0.0,0.0
DiffQL,access_control-automated,50,0.0,0.0
DiffQL,access_control-automated,51,0.0,0.0
DiffQL,access_control-automated,52,0.0,0.0
DiffQL,access_control-automated,53,0.0,0.0
DiffQL,access_control-automated,54,0.0,0.0
DiffQL,access_control-automated,55,0.0,0.0
DiffQL,access_control-automated,56,0.0,0.0
DiffQL,access_control-automated,57,0.0,0.0
DiffQL,access_control-automated,58,0.0,0.0
DiffQL,access_control-automated,59,0.0,0.0
DiffQL,access_control-automated,60,0.0,0.0
DiffQL,access_control-automated,61,0.0,0.0
DiffQL,access_control-automated,62,0.0,0.0
DiffQL,access_control-automated,63,0.0,0.0
DiffQL,access_control-automated,64,0.0,0.0
DiffQL,access_control-automated,65,0.0,0.0
DiffQL,access_control-automated,66,0.0,0.0
DiffQL,access_control-automated,67,0.0,0.0
DiffQL,access_control-automated,68,0.0,0.0
DiffQL,access_control-automated,69,0.0,0.0
DiffQL,access_control-automated,70,0.0,0.0
DiffQL,access_control-automated,71,0.0,0.0
DiffQL,access_control-automated,72,0.0,0.0
DiffQL,access_control-automated,73,0.0,0.0
DiffQL,access_control-automated,74,0.0,0.0
DiffQL,access_control-automated,75,0.0,0.0
DiffQL,access_control-automated,76,0.0,0.0
DiffQL,access_control-automated,77,0.0,0.0
DiffQL,access_control-automated,78,0.0,0.0
DiffQL,access_control-automated,79,0.0,0.0
DiffQL,access_control-automated,80,0.0,0.0
DiffQL,access_control-automated,81,0.0,0.0
DiffQL,access_control-automated,82,0.0,0.0
DiffQL,access_control-automated,83,0.0,0.0
DiffQL,access_control-automated,84,0.0,0.0
DiffQL,access_control-automated,85,0.0,0.0
DiffQL,access_control-automated,86,0.0,0.0
DiffQL,access_control-automated,87,0.0,0.0
DiffQL,access_control-automated,88,0.0,0.0
DiffQL,access_control-automated,89,0.0,0.0
DiffQL,access_control-automated,90,0.0,0.0
DiffQL,access_control-automated,91,0.0,0.0
DiffQL,access_control-automated,92,0.0,0.0
DiffQL,access_control-automated,93,0.0,0.0
DiffQL,access_control-automated,94,0.0,0.0
DiffQL,access_control-automated,95,0.0,0.0
DiffQL,access_control-automated,96,0.0,0.0
DiffQL,access_control-automated,97,0.0,0.0
DiffQL,access_control-automated,98,0.0,0.0
DiffQL,access_control-automated,99,0.0,0.0
DiffQL,access_control-automated,100,0.0,0.0
DiffQL,access_control-automated,101,0.0,0.0
DiffQL,access_control-automated,102,0.0,0.0
DiffQL,access_control-automated,103,0.0,0.0
DiffQL,access_control-automated,104,0.0,0.0
DiffQL,access_control-automated,105,0.0,0.0
DiffQL,access_control-automated,106,0.0,0.0
