algo,mdp,run,rho_empirical,rho_internal
DiffQL,ring,0,1.0,0.9999999999999539
DiffQL,ring,1,1.0,0.9999999999999539
DiffQL,ring,2,1.0,0.9999999999999539
DiffQL,ring,3,1.0,0.9999999999999539
DiffQL,ring,4,1.0,0.9999999999999539
DiffQL,ring,5,1.0,0.9999999999999539
DiffQL,ring,6,1.0,0.9999999999999539
DiffQL,ring,7,1.0,0.9999999999999539
DiffQL,ring,8,1.0,0.9999999999999539
DiffQL,ring,9,1.0,0.9999999999999539
DiffQL,ring,10,1.0,0.9999999999999539
DiffQL,ring,11,1.0,0.9999999999999539
DiffQL,ring,12,1.0,0.9999999999999539
DiffQL,ring,13,1.0,0.9999999999999539
DiffQL,ring,14,1.0,0.9999999999999539
DiffQL,ring,15,1.0,0.9999999999999539
DiffQL,ring,16,1.0,0.9999999999999539
DiffQL,ring,17,1.0,0.9999999999999539
DiffQL,ring,18,1.0,0.9999999999999539
DiffQL,ring,19,1.0,0.9999999999999539
DiffQL,ring,20,1.0,0.9999999999999539
DiffQL,ring,21,1.0,0.9999999999999539
DiffQL,ring,22,1.0,0.9999999999999539
DiffQL,ring,23,1.0,0.9999999999999539
DiffQL,ring,24,1.0,0.9999999999999539
DiffQL,ring,25,1.0,0.9999999999999539
DiffQL,ring,26,1.0,0.9999999999999539
DiffQL,ring,27,1.0,0.9999999999999539
DiffQL,ring,28,1.0,0.9999999999999539
DiffQL,ring,29,1.0,0.9999999999999539
DiffQL,ring,30,1.0,0.9999999999999539
DiffQL,ring,31,1.0,0.9999999999999539
DiffQL,ring,32,1.0,0.9999999999999539
DiffQL,ring,33,1.0,0.9999999999999539
DiffQL,ring,34,1.0,0.9999999999999539
DiffQL,ring,35,1.0,0.9999999999999539
DiffQL,ring,36,1.0,0.9999999999999539
DiffQL,ring,37,1.0,0.9999999999999539
DiffQL,ring,38,1.0,0.9999999999999539
DiffQL,ring,39,1.0,0.9999999999999539
DiffQL,ring,40,1.0,0.9999999999999539
DiffQL,ring,41,1.0,0.9999999999999539
DiffQL,ring,42,1.0,0.9999999999999539
DiffQL,ring,43,1.0,0.9999999999999539
DiffQL,ring,44,1.0,0.9999999999999539
DiffQL,ring,45,1.0,0.9999999999999539
DiffQL,ring,46,1.0,0.9999999999999539
DiffQL,ring,47,1.0,0.9999999999999539
DiffQL,ring,48,1.0,0.9999999999999539
DiffQL,ring,49,1.0,0.9999999999999539
DiffQL,ring,50,1.0,0.9999999999999539
DiffQL,ring,51,1.0,0.9999999999999539
DiffQL,ring,52,1.0,0.9999999999999539
DiffQL,ring,53,1.0,0.9999999999999539
