algo,mdp,run,rho_empirical,rho_internal
DiffQL,stayvsburst,0,2.217111111111111,2.287604550478962
DiffQL,stayvsburst,1,2.213888888888889,2.256147712835865
DiffQL,stayvsburst,2,2.223333333333333,2.2483910416934023
DiffQL,stayvsburst,3,2.224111111111111,2.237531203040019
DiffQL,stayvsburst,4,2.0,2.2760057355158203
DiffQL,stayvsburst,5,2.2165555555555554,2.233509039574911
DiffQL,stayvsburst,6,2.2245555555555554,2.24093291104909
DiffQL,stayvsburst,7,2.223333333333333,2.2537797169262435
DiffQL,stayvsburst,8,2.224222222222222,2.2297898069440545
DiffQL,stayvsburst,9,2.223777777777778,2.240280538512707
DiffQL,stayvsburst,10,2.227222222222222,2.270880086416489
DiffQL,stayvsburst,11,2.2256666666666667,2.237128551598625
DiffQL,stayvsburst,12,2.2204444444444444,2.2874762969394298
DiffQL,stayvsburst,13,2.2167777777777777,2.232193962962021
DiffQL,stayvsburst,14,2.221888888888889,2.2589396948687934
DiffQL,stayvsburst,15,2.2172222222222224,2.273851470536335
DiffQL,stayvsburst,16,2.215888888888889,2.254337552964055
DiffQL,stayvsburst,17,2.214111111111111,2.2356343710451894
DiffQL,stayvsburst,18,2.2186666666666666,2.2272404996204784
DiffQL,stayvsburst,19,2.2266666666666666,2.2730411933432673
DiffQL,stayvsburst,20,2.2236666666666665,2.265430242730469
DiffQL,stayvsburst,21,2.0,2.2670306692643964
DiffQL,stayvsburst,22,2.2234444444444446,2.211934343426037
DiffQL,stayvsburst,23,2.223777777777778,2.255077907785373
DiffQL,stayvsburst,24,2.2212222222222224,2.243901215421661
DiffQL,stayvsburst,25,2.2154444444444445,2.26311693920034
DiffQL,stayvsburst,26,2.2231111111111113,2.2628179432667705
DiffQL,stayvsburst,27,2.22,2.259036824836801
DiffQL,stayvsburst,28,2.2207777777777777,2.2521623692348607
DiffQL,stayvsburst,29,2.2235555555555555,2.247524002072575
DiffQL,stayvsburst,30,2.2154444444444445,2.218047639315822
DiffQL,stayvsburst,31,2.222888888888889,2.242191374467269
DiffQL,stayvsburst,32,2.2231111111111113,2.2429304758949558
DiffQL,stayvsburst,33,2.223,2.259722733830256
DiffQL,stayvsburst,34,2.222888888888889,2.2373129222691173
DiffQL,stayvsburst,35,2.2285555555555554,2.2488527469916777
DiffQL,stayvsburst,36,2.2292222222222224,2.265908069999588
DiffQL,stayvsburst,37,2.2205555555555554,2.271986665606471
DiffQL,stayvsburst,38,2.220111111111111,2.2467579905748853
DiffQL,stayvsburst,39,2.0,2.24026540746861
DiffQL,stayvsburst,40,2.223777777777778,2.2499156627167145
DiffQL,stayvsburst,41,2.0,2.22943291502393
DiffQL,stayvsburst,42,2.225,2.2708690984246944
DiffQL,stayvsburst,43,2.227333333333333,2.2394050915726105
DiffQL,stayvsburst,44,2.2284444444444444,2.2606240722848394
DiffQL,stayvsburst,45,2.220111111111111,2.2708248948653695
DiffQL,stayvsburst,46,2.226,2.26311199796717
DiffQL,stayvsburst,47,2.2213333333333334,2.25978262858928
