algo,mdp,run,rho_hat
RVIQL,resetdie,0,6.0
RVIQL,resetdie,1,6.0
RVIQL,resetdie,2,0.7519555555555556
RVIQL,resetdie,3,6.0
RVIQL,resetdie,4,6.0
RVIQL,resetdie,5,6.0
RVIQL,resetdie,6,0.7771555555555556
RVIQL,resetdie,7,0.7502
RVIQL,resetdie,8,6.0
RVIQL,resetdie,9,5.0
RVIQL,resetdie,10,6.0
RVIQL,resetdie,11,3.0
RVIQL,resetdie,12,6.0
RVIQL,resetdie,13,6.0
RVIQL,resetdie,14,3.0
RVIQL,resetdie,15,6.0
RVIQL,resetdie,16,5.0
RVIQL,resetdie,17,6.0
RVIQL,resetdie,18,6.0
RVIQL,resetdie,19,6.0
RVIQL,resetdie,20,6.0
RVIQL,resetdie,21,5.0
RVIQL,resetdie,22,6.0
RVIQL,resetdie,23,6.0
RVIQL,resetdie,24,6.0
RVIQL,resetdie,25,6.0
RVIQL,resetdie,26,6.0
RVIQL,resetdie,27,6.0
RVIQL,resetdie,28,0.7454444444444445
RVIQL,resetdie,29,6.0
RVIQL,resetdie,30,6.0
RVIQL,resetdie,31,6.0
RVIQL,resetdie,32,0.2994888888888889
RVIQL,resetdie,33,6.0
RVIQL,resetdie,34,6.0
RVIQL,resetdie,35,0.7494666666666666
RVIQL,resetdie,36,6.0
RVIQL,resetdie,37,6.0
RVIQL,resetdie,38,6.0
RVIQL,resetdie,39,6.0
RVIQL,resetdie,40,6.0
RVIQL,resetdie,41,0.7547111111111111
RVIQL,resetdie,42,6.0
RVIQL,resetdie,43,3.0
RVIQL,resetdie,44,6.0
RVIQL,resetdie,45,4.0
RVIQL,resetdie,46,6.0
RVIQL,resetdie,47,6.0
RVIQL,resetdie,48,6.0
RVIQL,resetdie,49,3.0
RVIQL,resetdie,50,0.7639333333333334
RVIQL,resetdie,51,5.0
RVIQL,resetdie,52,0.7515777777777778
RVIQL,resetdie,53,6.0
RVIQL,resetdie,54,6.0
RVIQL,resetdie,55,6.0
RVIQL,resetdie,56,6.0
RVIQL,resetdie,57,3.0
RVIQL,resetdie,58,6.0
RVIQL,resetdie,59,6.0
RVIQL,resetdie,60,6.0
RVIQL,resetdie,61,6.0
RVIQL,resetdie,62,6.0
RVIQL,resetdie,63,6.0
RVIQL,resetdie,64,6.0
RVIQL,resetdie,65,6.0
RVIQL,resetdie,66,0.7554888888888889
RVIQL,resetdie,67,6.0
RVIQL,resetdie,68,6.0
RVIQL,resetdie,69,3.0
RVIQL,resetdie,70,6.0
RVIQL,resetdie,71,6.0
RVIQL,resetdie,72,6.0
RVIQL,resetdie,73,6.0
RVIQL,resetdie,74,6.0
RVIQL,resetdie,75,6.0
RVIQL,resetdie,76,6.0
RVIQL,resetdie,77,0.7509333333333333
RVIQL,resetdie,78,0.7569777777777777
RVIQL,resetdie,79,6.0
RVIQL,resetdie,80,6.0
RVIQL,resetdie,81,6.0
RVIQL,resetdie,82,3.0
RVIQL,resetdie,83,6.0
RVIQL,resetdie,84,0.7699777777777778
RVIQL,resetdie,85,6.0
RVIQL,resetdie,86,6.0
RVIQL,resetdie,87,6.0
RVIQL,resetdie,88,6.0
RVIQL,resetdie,89,0.7460888888888889
RVIQL,resetdie,90,6.0
RVIQL,resetdie,91,0.7484
RVIQL,resetdie,92,6.0
RVIQL,resetdie,93,6.0
RVIQL,resetdie,94,5.0
RVIQL,resetdie,95,6.0
RVIQL,resetdie,96,5.0
RVIQL,resetdie,97,6.0
RVIQL,resetdie,98,6.0
RVIQL,resetdie,99,6.0
RVIQL,resetdie,100,5.0
RVIQL,resetdie,101,6.0
