algo,mdp,run,rho_hat
RVIQL,stayvsburst,0,2.220111111111111
RVIQL,stayvsburst,1,2.0
RVIQL,stayvsburst,2,2.0
RVIQL,stayvsburst,3,2.217888888888889
RVIQL,stayvsburst,4,2.0
RVIQL,stayvsburst,5,2.2236666666666665
RVIQL,stayvsburst,6,2.223222222222222
RVIQL,stayvsburst,7,2.0
RVIQL,stayvsburst,8,2.0
RVIQL,stayvsburst,9,2.216666666666667
RVIQL,stayvsburst,10,2.2136666666666667
RVIQL,stayvsburst,11,2.0
RVIQL,stayvsburst,12,2.2203333333333335
RVIQL,stayvsburst,13,2.0
RVIQL,stayvsburst,14,2.2207777777777777
RVIQL,stayvsburst,15,2.0
RVIQL,stayvsburst,16,2.222
RVIQL,stayvsburst,17,2.0
RVIQL,stayvsburst,18,2.2217777777777776
RVIQL,stayvsburst,19,2.222
RVIQL,stayvsburst,20,2.221888888888889
RVIQL,stayvsburst,21,2.0
RVIQL,stayvsburst,22,2.2195555555555555
RVIQL,stayvsburst,23,2.0
RVIQL,stayvsburst,24,2.2225555555555556
RVIQL,stayvsburst,25,2.0
RVIQL,stayvsburst,26,2.0
RVIQL,stayvsburst,27,2.0
RVIQL,stayvsburst,28,2.0
RVIQL,stayvsburst,29,2.0
RVIQL,stayvsburst,30,2.0
RVIQL,stayvsburst,31,2.0
RVIQL,stayvsburst,32,2.2248888888888887
RVIQL,stayvsburst,33,2.0
RVIQL,stayvsburst,34,2.0
RVIQL,stayvsburst,35,2.0
RVIQL,stayvsburst,36,2.0
RVIQL,stayvsburst,37,2.0
RVIQL,stayvsburst,38,2.0
RVIQL,stayvsburst,39,2.2236666666666665
RVIQL,stayvsburst,40,2.2262222222222223
RVIQL,stayvsburst,41,2.2287777777777777
RVIQL,stayvsburst,42,2.0
RVIQL,stayvsburst,43,2.0
RVIQL,stayvsburst,44,2.0
RVIQL,stayvsburst,45,2.0
RVIQL,stayvsburst,46,2.2244444444444444
RVIQL,stayvsburst,47,2.0
RVIQL,stayvsburst,48,2.0
RVIQL,stayvsburst,49,2.0
RVIQL,stayvsburst,50,2.2253333333333334
RVIQL,stayvsburst,51,2.0
RVIQL,stayvsburst,52,2.0
RVIQL,stayvsburst,53,2.0
