algo,mdp,run,rho_hat
RVIQL,twostate,0,1.0
RVIQL,twostate,1,1.0
RVIQL,twostate,2,1.0
RVIQL,twostate,3,1.0
RVIQL,twostate,4,1.0
RVIQL,twostate,5,1.0
RVIQL,twostate,6,1.0
RVIQL,twostate,7,1.0
RVIQL,twostate,8,1.0
RVIQL,twostate,9,1.0
RVIQL,twostate,10,1.0
RVIQL,twostate,11,1.0
RVIQL,twostate,12,1.0
RVIQL,twostate,13,1.0
RVIQL,twostate,14,1.0
RVIQL,twostate,15,1.0
RVIQL,twostate,16,1.0
RVIQL,twostate,17,1.0
RVIQL,twostate,18,1.0
RVIQL,twostate,19,1.0
RVIQL,twostate,20,1.0
RVIQL,twostate,21,1.0
RVIQL,twostate,22,1.0
RVIQL,twostate,23,1.0
RVIQL,twostate,24,1.0
RVIQL,twostate,25,1.0
RVIQL,twostate,26,1.0
RVIQL,twostate,27,1.0
RVIQL,twostate,28,1.0
RVIQL,twostate,29,1.0
RVIQL,twostate,30,1.0
RVIQL,twostate,31,1.0
RVIQL,twostate,32,1.0
RVIQL,twostate,33,1.0
RVIQL,twostate,34,1.0
RVIQL,twostate,35,1.0
RVIQL,twostate,36,1.0
RVIQL,twostate,37,1.0
RVIQL,twostate,38,1.0
RVIQL,twostate,39,1.0
RVIQL,twostate,40,1.0
RVIQL,twostate,41,1.0
RVIQL,twostate,42,1.0
RVIQL,twostate,43,1.0
RVIQL,twostate,44,1.0
RVIQL,twostate,45,1.0
RVIQL,twostate,46,1.0
RVIQL,twostate,47,1.0
RVIQL,twostate,48,1.0
RVIQL,twostate,49,1.0
RVIQL,twostate,50,1.0
RVIQL,twostate,51,1.0
RVIQL,twostate,52,1.0
RVIQL,twostate,53,1.0
RVIQL,twostate,54,1.0
RVIQL,twostate,55,1.0
RVIQL,twostate,56,1.0
RVIQL,twostate,57,1.0
RVIQL,twostate,58,1.0
RVIQL,twostate,59,1.0
RVIQL,twostate,60,1.0
RVIQL,twostate,61,1.0
RVIQL,twostate,62,1.0
RVIQL,twostate,63,1.0
RVIQL,twostate,64,1.0
RVIQL,twostate,65,1.0
RVIQL,twostate,66,1.0
RVIQL,twostate,67,1.0
RVIQL,twostate,68,1.0
RVIQL,twostate,69,1.0
RVIQL,twostate,70,1.0
RVIQL,twostate,71,1.0
RVIQL,twostate,72,1.0
RVIQL,twostate,73,1.0
RVIQL,twostate,74,1.0
RVIQL,twostate,75,1.0
RVIQL,twostate,76,1.0
RVIQL,twostate,77,1.0
RVIQL,twostate,78,1.0
RVIQL,twostate,79,1.0
RVIQL,twostate,80,1.0
RVIQL,twostate,81,1.0
RVIQL,twostate,82,1.0
RVIQL,twostate,83,1.0
RVIQL,twostate,84,1.0
RVIQL,twostate,85,1.0
RVIQL,twostate,86,1.0
RVIQL,twostate,87,1.0
RVIQL,twostate,88,1.0
RVIQL,twostate,89,1.0
RVIQL,twostate,90,1.0
RVIQL,twostate,91,1.0
RVIQL,twostate,92,1.0
RVIQL,twostate,93,1.0
RVIQL,twostate,94,1.0
RVIQL,twostate,95,1.0
RVIQL,twostate,96,1.0
RVIQL,twostate,97,1.0
RVIQL,twostate,98,1.0
RVIQL,twostate,99,1.0
RVIQL,twostate,100,1.0
RVIQL,twostate,101,1.0
RVIQL,twostate,102,1.0
RVIQL,twostate,103,1.0
RVIQL,twostate,104,1.0
RVIQL,twostate,105,1.0
RVIQL,twostate,106,1.0
RVIQL,twostate,107,1.0
RVIQL,twostate,108,1.0
RVIQL,twostate,109,1.0
RVIQL,twostate,110,1.0
RVIQL,twostate,111,1.0
RVIQL,twostate,112,1.0
RVIQL,twostate,113,1.0
RVIQL,twostate,114,1.0
RVIQL,twostate,115,1.0
RVIQL,twostate,116,1.0
RVIQL,twostate,117,1.0
RVIQL,twostate,118,1.0
RVIQL,twostate,119,1.0
RVIQL,twostate,120,1.0
RVIQL,twostate,121,1.0
RVIQL,twostate,122,1.0
RVIQL,twostate,123,1.0
RVIQL,twostate,124,1.0
RVIQL,twostate,125,1.0
RVIQL,twostate,126,1.0
RVIQL,twostate,127,1.0
RVIQL,twostate,128,1.0
RVIQL,twostate,129,1.0
RVIQL,twostate,130,1.0
RVIQL,twostate,131,1.0
RVIQL,twostate,132,1.0
RVIQL,twostate,133,1.0
RVIQL,twostate,134,1.0
RVIQL,twostate,135,1.0
RVIQL,twostate,136,1.0
RVIQL,twostate,137,1.0
RVIQL,twostate,138,1.0
RVIQL,twostate,139,1.0
RVIQL,twostate,140,1.0
RVIQL,twostate,141,1.0
RVIQL,twostate,142,1.0
RVIQL,twostate,143,1.0
RVIQL,twostate,144,1.0
RVIQL,twostate,145,1.0
RVIQL,twostate,146,1.0
RVIQL,twostate,147,1.0
RVIQL,twostate,148,1.0
RVIQL,twostate,149,1.0
RVIQL,twostate,150,1.0
RVIQL,twostate,151,1.0
RVIQL,twostate,152,1.0
RVIQL,twostate,153,1.0
RVIQL,twostate,154,1.0
RVIQL,twostate,155,1.0
RVIQL,twostate,156,1.0
RVIQL,twostate,157,1.0
RVIQL,twostate,158,1.0
RVIQL,twostate,159,1.0
RVIQL,twostate,160,1.0
RVIQL,twostate,161,1.0
RVIQL,twostate,162,1.0
RVIQL,twostate,163,1.0
RVIQL,twostate,164,1.0
RVIQL,twostate,165,1.0
RVIQL,twostate,166,1.0
RVIQL,twostate,167,1.0
RVIQL,twostate,168,1.0
RVIQL,twostate,169,1.0
RVIQL,twostate,170,1.0
RVIQL,twostate,171,1.0
RVIQL,twostate,172,1.0
RVIQL,twostate,173,1.0
RVIQL,twostate,174,1.0
RVIQL,twostate,175,1.0
